Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score
I241_S43241_C158,11,1,42,15342,1619,139571
I241_S43241_C158,11,3,46,15158,1408,139558
I2999_S17994_C103,11,10,10,2106,1240,418321
I2999_S17994_C103,11,7,8,4090,1801,418324
I2999_S17994_C103,11,2,5,2018,1800,418326
I2999_S17994_C103,11,9,4,2136,1433,418328
I2999_S17994_C103,11,5,6,2094,1273,418322
I2999_S17994_C103,11,3,4,2226,1801,418331
I2999_S17994_C103,11,4,5,2113,1670,418328
I2999_S17994_C103,11,8,4,2036,1801,418329
I2999_S17994_C103,11,1,6,2154,1801,418322
I2999_S17994_C103,11,6,12,2750,1285,418319
I3000_S12000_C407,11,2,2,357,1807,2576368
I3000_S12000_C407,11,7,1,356,1804,2576386
I3000_S12000_C407,11,6,3,409,1444,2576361
I3000_S12000_C407,11,1,1,345,1803,2576376
I3000_S12000_C407,11,5,2,357,1803,2576380
I3000_S12000_C407,11,10,4,383,1097,2576347
I3000_S12000_C407,11,9,2,373,1810,2576360
I3000_S12000_C407,11,8,3,326,1415,2576380
I3000_S12000_C407,11,3,1,413,1830,2576383
I3000_S12000_C407,11,4,1,363,1806,2576359
I3000_S15000_C316,11,5,4,792,1455,1664511
I3000_S15000_C316,11,6,2,1018,1743,1664544
I3000_S15000_C316,11,4,2,760,1804,1664535
I3000_S15000_C316,11,1,5,807,1789,1664528
I3000_S15000_C316,11,3,5,796,1801,1664515
I3000_S15000_C316,11,2,3,795,1803,1664540
I3000_S15000_C316,11,8,6,743,1391,1664477
I3000_S15000_C316,11,10,3,743,1348,1664512
I3000_S15000_C316,11,9,4,922,1370,1664536
I3000_S15000_C316,11,7,4,740,1216,1664505
I3000_S18000_C227,11,4,25,10607,958,57287
I3000_S18000_C227,11,8,35,11814,361,57281
I3000_S18000_C227,11,1,38,12486,522,57439
I3000_S18000_C227,11,2,27,10743,1258,57500
I3000_S18000_C227,11,10,27,10286,779,57445
I3000_S18000_C227,11,5,36,10345,1730,57408
I3000_S18000_C227,11,3,32,10980,1188,57597
I3000_S18000_C227,11,7,18,10404,1194,57270
I3000_S18000_C227,11,9,32,14611,939,57650
I3000_S18000_C227,11,6,30,10087,1076,57232
I300_S1500_C469,11,5,14,4926,1501,590632
I300_S1500_C469,11,10,15,4795,1801,590488
I300_S1500_C469,11,9,19,5076,1586,590567
I300_S1500_C469,11,2,11,4812,1800,590443
I300_S1500_C469,11,1,13,5090,1482,590596
I300_S1500_C469,11,3,26,9265,1789,590594
I300_S1500_C469,11,6,8,4938,1503,590592
I300_S1500_C469,11,8,18,4682,1593,590533
I300_S1500_C469,11,7,20,5001,1192,590548
I300_S1500_C469,11,4,17,4854,1163,590582
I300_S900_C500,11,10,51,19118,1411,647110
I300_S900_C500,11,2,52,19379,1467,647071
I300_S900_C500,11,5,59,19123,1702,647052
I300_S900_C500,11,3,64,18785,1585,647065
I300_S900_C500,11,8,41,19901,1600,647078
